Date,Open Interest,Producer/Merchant/ Processor/User Long,Producer/Merchant/ Processor/User Short,Swap Dealers Long,Swap Dealers short,Swap Dealers Spreading,Managed Money Long,Managed Money Short,Managed Money Spreading,Other Reportables Long,Other Reportables Short,Other Reportables Spreading,Nonreportable Positions Long,Nonreportable PositionsShort
2/2/2021,273862,168303,187376,14041,18292,12032,21180,1580,17659,1700,466,34063,4884,2394
1/26/2021,266451,165578,184263,15748,18126,11568,20330,1664,16717,1669,1283,30304,4537,2526
1/19/2021,259729,159824,179265,15104,17552,11922,20796,1949,14768,2351,1209,30814,4150,2250
1/12/2021,254363,157965,176111,17044,17312,11829,18269,2840,13819,3062,1266,28467,3908,2719
1/5/2021,253288,155804,176155,17953,17527,11266,19741,3074,13389,3360,884,28095,3680,2898
12/29/2020,248399,149332,175448,20472,14733,9970,19490,3178,13370,3410,461,28821,3534,2418
12/22/2020,245834,146364,174413,19600,14625,9785,20326,2086,14020,3653,79,28678,3408,2148
12/15/2020,240353,138710,169858,19033,14724,9738,23523,987,14321,3581,571,28184,3263,1970
12/8/2020,246184,140148,179493,23871,14263,8589,25749,662,14149,4434,619,26053,3191,2356
12/1/2020,247663,143191,178501,22629,15479,9433,25187,2778,13847,4437,918,23743,5196,2964
11/24/2020,275966,156776,187151,25475,15361,14394,20134,5937,13981,5185,576,36423,3598,2143
11/17/2020,277890,162456,183214,36197,17521,11354,14191,14136,12001,3589,1083,34754,3348,3827
11/10/2020,275677,159477,182994,39999,17445,11084,13509,14050,9679,3434,1069,35200,3295,4156
11/3/2020,270899,154134,179406,40674,17085,10057,13312,11537,11112,2354,1151,36381,2875,4170
10/27/2020,255091,143801,173113,38815,17264,8894,15032,10629,10269,2879,454,31714,3687,2754
10/20/2020,251264,140564,170713,40016,17038,8745,15704,10353,9233,2177,858,31323,3502,3001
10/13/2020,245107,125960,170813,40349,11190,9209,21623,7450,12282,2246,1373,30278,3160,2512
10/6/2020,240933,115288,171348,37701,10272,9045,30230,3953,14827,1910,1223,28470,3462,1795
9/29/2020,240182,114213,173505,32921,10624,10439,34594,2460,14760,3237,229,26303,3715,1862
9/22/2020,243870,120819,178421,32252,10481,10518,32498,2045,14777,3538,223,25575,3893,1830
9/15/2020,242761,125841,177829,30427,9577,10173,28666,5258,13687,5527,94,24385,4055,1758
9/8/2020,243009,144674,174176,20310,11336,13335,22778,7815,11964,4042,168,22016,3890,2199
9/1/2020,256168,161112,180944,20755,11364,13430,17243,13183,11851,4477,44,23304,3996,2048
8/25/2020,283394,178640,194059,26561,11913,13612,14882,17457,10712,3018,76,32519,3450,3046
8/18/2020,287588,183963,195403,27571,11552,14920,12966,20497,7861,2800,254,34339,3166,2762
8/11/2020,288419,185437,186716,25261,12386,13596,12016,26367,9847,2749,107,35606,3907,3795
8/4/2020,292150,185419,183151,28287,13467,12004,11742,30912,12847,3027,350,35626,3199,3793
7/28/2020,301562,183082,185611,36847,13476,10950,12759,34461,13719,1943,1036,38243,4019,4066
7/21/2020,302429,180888,190798,37997,12455,11086,13400,30978,13601,3483,2010,38005,3969,3496
7/14/2020,300932,180718,195312,36601,12221,10635,14713,25821,13375,3307,1903,37737,3846,3927
7/7/2020,293451,172664,196264,35737,11547,10704,16324,19258,13394,2431,708,37249,4948,4327
6/30/2020,299026,173895,208379,39220,11399,10750,18615,13300,15353,3124,2786,33500,4568,3558
6/23/2020,307181,169038,215502,43556,11626,13890,20528,8561,12660,2399,853,40495,4615,3594
6/16/2020,307693,166355,222185,42740,12156,14548,26096,3751,11177,2290,546,39895,4592,3435
6/9/2020,308966,161295,225715,38820,12321,14645,35239,1942,14351,2995,424,36336,5285,3232
6/2/2020,309646,156024,225742,38301,12036,15516,40267,1395,17326,3471,377,33545,5196,3710
5/26/2020,304618,153016,224382,36856,11750,16750,40376,442,16019,4179,294,32156,5266,2825
5/19/2020,300135,152364,220521,34836,11957,17663,39512,910,14641,5058,404,31323,4738,2718
5/12/2020,295977,155042,219713,35870,12188,16866,34679,658,12880,5201,291,30459,4980,2922
5/5/2020,292094,156007,217356,40527,12254,15137,29434,1203,12058,3577,505,30748,4606,2833
4/28/2020,325912,172871,231770,43184,12777,20328,28639,4554,11990,3340,576,41736,3823,2180
4/21/2020,329738,179954,233300,43169,12651,18492,24604,5768,13719,3074,930,42202,4525,2677
4/14/2020,335091,181255,237152,45786,12470,15828,25071,5106,16638,2493,930,44026,3994,2940
4/7/2020,333789,180886,234295,41176,13416,17315,26176,4721,17275,3734,789,43352,3875,2625
3/31/2020,337697,171867,237386,49135,13091,15928,29120,3196,18141,2879,928,46053,4572,2973
3/24/2020,331433,163137,233316,44602,13403,17366,34363,1265,20626,4658,607,43101,3581,1750
3/17/2020,337191,157461,237398,43919,13639,16188,43696,801,25823,5210,647,40594,4300,2099
3/10/2020,341819,146850,239248,41305,14353,15095,57750,1407,29621,6890,763,39641,4667,1691
3/3/2020,349988,146324,244889,35552,14915,17417,68820,1323,29557,8435,753,37957,5926,3177
2/25/2020,404847,169025,268014,33403,16334,26078,72462,2281,36582,8949,487,52770,5578,2300
2/18/2020,408573,172924,271753,34195,16407,26138,72914,2419,35915,8049,604,52762,5675,2574
2/11/2020,404021,175452,273643,33757,16437,27279,71599,1747,31411,7693,489,50936,5894,2078
2/4/2020,390359,172566,270433,36111,15459,24776,69909,1686,26638,6571,541,49102,4685,1723
1/28/2020,398257,176722,272995,34523,15415,28354,69622,512,29281,5605,561,49799,4352,1341
1/21/2020,403029,187547,274929,30537,15705,30425,63719,348,31336,6888,494,48230,4347,1562
1/14/2020,378752,187580,264433,35123,13037,23348,54014,6680,26718,6250,1269,42080,3639,1188
1/7/2020,366794,181676,261378,48614,12039,16723,49031,11980,22396,5096,892,39782,3477,1606
12/31/2019,366959,182861,263904,50803,12037,15985,47948,11464,22653,5077,1053,38576,3057,1289
12/24/2019,365515,181195,264315,54146,12247,13406,47759,10200,23845,4010,1385,38580,2574,1538
12/17/2019,363596,170400,259294,50663,12539,15335,54684,9108,24536,5043,1204,40006,2929,1573
12/10/2019,386519,168549,284443,56090,11764,15527,68907,4098,27560,5982,1612,40192,3712,1324
12/3/2019,396290,171820,292434,52090,12237,16684,77183,2874,31168,5930,2002,37561,3855,1329
11/26/2019,436551,186305,293977,38699,16108,32333,80412,2737,38645,6161,1454,49201,4795,2095
11/19/2019,436870,189361,293357,37460,17479,34770,79492,2830,38872,5218,779,46791,4905,1992
11/12/2019,432000,191095,292751,39474,16087,33281,75315,3181,37243,4007,523,46940,4645,1993
11/5/2019,422591,195725,294702,42278,14341,29013,70465,4181,34882,3206,1197,42785,4237,1489
10/29/2019,423417,200887,299813,39380,14773,28687,72681,3543,34267,3288,1153,39463,4764,1718
10/22/2019,418034,202337,296851,38803,14378,28263,69491,3495,32622,2997,1614,39019,4501,1791
10/15/2019,417143,200351,290245,34193,16497,30617,69210,2173,34871,3148,718,39445,5308,2577
10/8/2019,401772,191113,276184,33688,16560,31414,65757,3128,33248,3908,677,38060,4585,2500
10/1/2019,385289,192745,262554,34172,15787,30827,51496,6252,30949,3850,375,36191,5058,2353
9/24/2019,363415,197790,247712,34045,15124,26890,32311,7884,30071,4551,244,32322,5436,3167
9/17/2019,348970,201985,236970,37405,16080,24082,23575,15479,23490,4540,76,29776,4117,3017
9/10/2019,356225,224801,232269,35701,32651,26267,19227,19249,15108,3829,153,28090,3202,2438
9/3/2019,350445,219798,224021,32752,32937,27103,20926,19086,18601,3043,950,25019,3202,2728
8/27/2019,366737,231562,243459,31492,32823,26222,23669,13314,18276,2940,821,29427,3149,2395
8/20/2019,364447,220625,246163,30180,31931,24320,35428,9936,21852,2810,1367,26344,2888,2534
8/13/2019,363108,206772,246078,26055,32885,22601,47219,4876,28346,3433,1063,24807,3875,2452
8/6/2019,370053,201024,250699,21867,33340,25010,60198,4432,28612,3496,695,25682,4164,1582
7/30/2019,367876,198934,246864,18940,33721,27683,59883,4309,27449,4229,175,26290,4468,1383
7/23/2019,362999,199290,242588,15978,33692,27693,57925,4324,27780,4903,226,25095,4335,1601
7/16/2019,353815,193363,236932,16422,33164,25423,59909,5601,27001,4037,261,23819,3842,1615
7/9/2019,350707,186316,236443,19073,34032,24826,60972,2972,25892,4413,238,23958,5257,2345
7/2/2019,341241,182395,230141,21107,32954,23094,57649,5114,25154,4449,112,22034,5361,2638
6/25/2019,363987,189293,241801,26970,32953,28693,54809,3734,24886,4576,131,28660,6101,3128
6/18/2019,357596,183864,236683,26539,33014,30261,53379,2517,24093,5297,151,27978,6185,2899
6/11/2019,349273,182517,229543,25744,32616,29296,49830,3548,24094,4536,252,27815,5441,2108
6/4/2019,333433,176416,224509,32641,32172,23733,45662,4274,21055,4179,213,24360,5387,3117
5/28/2019,330997,177414,221318,30589,30918,23905,42912,6866,20249,5160,124,24867,5901,2750
5/21/2019,326517,177188,221338,31500,30855,22745,41972,6577,19467,5043,60,22969,5632,2505
5/14/2019,321549,168997,223964,37357,30915,17213,46950,5113,20488,5047,428,21733,3763,1694
5/7/2019,326801,167856,226673,35080,31065,18186,51070,2688,21887,4554,598,23401,4767,2303
4/30/2019,322725,168178,222852,33749,31001,19711,46681,1728,21681,5381,1181,22110,5234,2461
4/23/2019,328955,172387,217673,33883,31077,22998,37664,2674,23447,4705,393,28291,5580,2402
4/16/2019,333566,180000,218432,32352,31205,21686,33586,2680,25747,4176,568,30598,5422,2651
4/9/2019,339219,187344,214962,31580,30432,23607,28823,8542,26832,4595,370,32186,4252,2288
4/2/2019,339564,194513,209063,33006,31000,22234,23676,16035,26294,3989,324,31542,4311,3073
3/26/2019,326171,190703,205964,34794,25646,18942,21375,17252,25620,2683,485,29073,2980,3189
3/19/2019,317092,182768,205933,35594,25010,18410,24956,13731,23504,2170,291,27278,2413,2935
3/12/2019,323241,178978,215663,36932,16828,21762,28278,12809,23474,2263,553,28290,3264,3863
3/5/2019,311795,171311,219465,35994,10162,16823,32212,10030,26294,1744,1121,24899,2517,3001
2/26/2019,331905,171702,221281,30659,11048,24394,36507,9149,29471,3356,810,33307,2510,2445
2/19/2019,340211,177594,220556,27908,11280,26256,34612,12934,30501,4613,632,35510,3217,2542
2/12/2019,328119,179491,211100,29994,10939,25094,29060,19545,24113,4325,464,33838,2206,3027
2/5/2019,332533,183602,208868,35156,9877,23130,24591,26527,26623,4239,607,33323,1869,3578
1/29/2019,324387,175644,207427,35210,8841,21617,26543,22276,27841,3551,474,32322,1660,3589
1/22/2019,321773,177511,212437,32393,10251,20343,28957,18339,24864,3684,351,32288,1734,2901
1/15/2019,312292,175837,210694,30170,10331,20687,29510,16854,19596,3724,90,31074,1694,2965
1/8/2019,304480,172780,205132,28019,10887,20239,28646,17642,19114,4620,46,28718,2344,2701
12/31/2018,296226,171164,197117,27720,11454,20040,26696,21194,16802,4615,32,26747,2442,2841
12/24/2018,291641,171383,186344,29354,11432,17995,23580,29045,18206,3760,444,25512,1851,2663
12/18/2018,290464,172608,180628,31015,11866,17235,21402,35939,18000,4205,423,23522,2477,2852
12/11/2018,297834,180245,184080,36388,12789,15063,20003,41860,17684,3707,1013,23061,1684,2286
12/4/2018,292931,176862,180247,35160,14487,15196,19647,40698,16999,4938,660,20869,3260,3776
11/27/2018,321267,182122,195369,39777,9984,23888,19864,38332,20249,4290,1371,27163,3913,4911
11/20/2018,318081,183252,201686,37376,9905,22369,20814,33348,20973,4513,487,26169,2614,3144
11/13/2018,315008,183320,205165,35953,10264,21914,23007,30001,17120,4579,561,26043,3072,3940
11/6/2018,327606,185456,208690,33946,10206,22349,22079,27032,25312,5193,427,29907,3364,3683
10/30/2018,327094,188917,205592,35397,11513,22085,21105,30166,21559,3428,592,31721,2883,3867
10/23/2018,334577,199087,204526,37659,13466,19733,21144,40100,19581,2747,1179,31719,2908,4274
10/16/2018,331434,196963,199322,40441,14353,17254,19203,42653,20556,2565,1442,31030,3424,4824
10/9/2018,335678,198056,200240,43669,17081,16313,19173,42907,22332,2631,1609,30276,3229,4920
10/2/2018,337176,197133,200660,43211,16956,15700,20512,43579,23060,2551,1516,31254,3755,4452
9/25/2018,312617,186783,176739,26727,21764,22504,22624,39576,22353,3284,583,25284,3058,3815
9/18/2018,302619,180148,174575,25650,21248,22308,23255,35712,20840,3038,545,23776,3603,3615
9/11/2018,304716,185305,183991,21737,21324,22956,25201,30623,20195,3389,486,22281,3651,2859
9/4/2018,305151,185610,181706,19757,28024,23339,28653,27626,16398,3500,648,23471,4422,3939
8/28/2018,324642,186964,191613,19458,21448,30199,28466,25494,21432,3209,559,30916,3999,2981
8/21/2018,325089,184350,192100,24291,21494,27660,27601,25131,23714,2603,609,30549,4321,3832
8/14/2018,315958,175625,189947,26626,20946,26859,26924,19942,23471,2583,690,29371,4500,4733
8/7/2018,307246,168893,191963,27668,21109,24729,28555,13887,21503,1940,1052,29574,4384,3430
7/31/2018,291847,152486,206528,35572,15878,15701,35982,3438,20852,1826,1388,25018,4410,3045
7/24/2018,281843,148141,207907,31871,15321,15312,42020,3011,15393,2062,1042,21885,5159,1971
7/17/2018,284940,145878,209046,26985,16275,17189,48545,1513,16257,2634,402,22260,5193,1997
7/10/2018,289029,150939,214797,24954,14101,17708,48595,1023,17435,2987,342,21854,4556,1769
7/3/2018,295304,160284,216983,23022,15298,18260,47196,2149,19209,2070,492,21494,3768,1419
6/26/2018,336091,177921,228935,23291,15580,29768,43992,4041,20606,2557,724,33929,4028,2508
6/19/2018,332885,180437,221988,21462,16338,27412,41120,7201,21588,1838,1206,34129,4897,3022
6/12/2018,324403,171815,216818,22197,15725,26254,43575,7565,20664,1784,545,33671,4442,3161
6/5/2018,330216,170663,220008,18501,18931,26708,52518,6784,23924,2713,924,29743,5446,3194
5/29/2018,336938,162643,221032,17849,20878,27553,58829,3708,29168,3324,191,31100,6471,3307
5/22/2018,344238,165970,224883,15425,20926,29754,62247,4137,29574,3063,111,31350,6854,3503
5/15/2018,343853,164136,222859,15621,21607,29488,63523,4961,30430,3217,100,31524,5913,2884
5/8/2018,357283,176450,238030,13826,20202,28849,65125,4437,30587,4405,117,31914,6127,3147
5/1/2018,371712,190976,248838,12836,21678,29488,65607,5390,30206,3728,69,32076,6796,3967
4/24/2018,401743,214604,263455,18363,25784,28011,59545,8833,30914,2787,45,42116,5402,2584
4/17/2018,385127,206461,251981,18395,26310,25791,55242,8719,28881,4582,797,40187,5587,2461
4/10/2018,369997,204714,240703,18835,27246,23363,51521,10811,25709,3401,1346,37001,5454,3819
4/3/2018,360815,192460,229069,18989,27236,24229,51773,10949,27678,2900,1052,37559,5227,3041
3/27/2018,344268,171492,221685,27001,22741,20838,49329,8580,28053,3669,894,39622,4265,1856
3/20/2018,335895,165735,212854,26448,22724,22426,45466,10132,27640,5642,447,36978,5559,2694
3/13/2018,338798,177232,205175,25749,23076,23019,38919,21908,27353,6483,340,35322,4722,2605
3/6/2018,351650,203557,206937,24948,27263,21149,33040,34274,27507,6655,401,30711,4083,3407
2/27/2018,364381,224962,212022,24995,26778,21812,25686,42872,23858,6724,397,32904,3440,3739
2/20/2018,352582,221097,208483,23185,15530,22017,24010,48953,23328,5887,957,29574,3484,3740
2/13/2018,353046,222803,198699,22353,19027,21408,24678,54756,25416,4709,885,28494,3187,4362
2/6/2018,368199,225888,197083,23302,18864,20957,24314,61936,31513,6035,602,32665,3526,4579
1/30/2018,357675,227233,182531,21858,18597,18371,20188,71271,30929,4802,980,31492,2803,3505
1/23/2018,351092,229584,178873,20224,17926,20408,14562,70445,30315,4915,1533,27992,3093,3600
1/16/2018,348025,229326,174655,19517,18392,19991,12408,71345,30312,4870,1051,28706,2894,3573
1/9/2018,348283,232698,173642,19072,18384,19970,11058,73628,28517,4914,1628,28779,3276,3734
1/2/2018,339162,229560,172337,18683,17800,20188,11465,72775,24584,5384,1050,26484,2814,3945
12/26/2017,332485,224361,170695,18866,18558,19368,13131,70652,23168,5312,644,25452,2827,3947
12/19/2017,322184,215301,164050,18178,17709,19126,12240,67584,24264,5666,658,24306,3104,4488
12/12/2017,310755,209773,158641,17707,17017,18903,10645,65260,23446,4730,644,22051,3499,4792
12/5/2017,288785,195518,155399,18046,13557,17949,9671,54169,19862,3271,1565,22073,2394,4210
11/28/2017,315066,196207,183422,21649,15270,19566,18248,41089,23723,5312,1148,28525,1837,2323
11/21/2017,315606,190939,189450,19061,14213,21473,22328,33520,22837,4939,582,29694,4336,3837
11/14/2017,319000,191478,195394,17372,13739,22413,26309,30939,21465,5075,647,30927,3961,3476
11/7/2017,325586,206971,194591,16644,16002,22171,23840,41770,18962,5704,492,27506,3788,4091
10/31/2017,330002,215070,203335,17717,12926,22077,22186,42178,18160,4157,233,26999,3637,4094
10/24/2017,334180,215833,203142,16672,14474,23178,23108,41335,20619,4168,408,27317,3285,3707
10/17/2017,328264,209427,200242,16397,19707,23220,23565,33660,21618,4828,172,25550,3661,4096
10/10/2017,330315,209332,195717,17787,22059,22477,23810,36218,21718,4356,186,27802,3033,4138
10/3/2017,339868,214497,190479,17797,24924,22983,24779,45388,24700,4678,421,26908,3527,4065
9/26/2017,332812,213581,184243,21626,26199,20449,23597,49251,21616,3165,391,25978,2800,4686
9/19/2017,320700,206115,175486,20667,23887,20366,23251,49925,20841,1688,676,24695,3076,4824
9/12/2017,312047,201295,168139,16224,21991,24565,21158,48145,21131,2455,1605,22131,3087,4340
9/5/2017,300000,190150,160963,14683,21017,24724,19731,42488,23424,1655,446,22629,3005,4311
8/29/2017,327069,199796,168571,21920,24613,31214,14131,40648,26143,2007,481,28478,3379,6919
8/22/2017,311424,184664,170412,29750,20533,23402,14252,38155,24755,1683,780,28699,4219,4688
8/15/2017,299582,178210,168869,27166,19626,23927,15335,30977,22959,1319,834,28256,2409,4133
8/8/2017,304586,182974,179925,25288,18108,22338,16693,27757,21950,2582,481,30135,2626,3892
8/1/2017,304906,187833,181245,26090,19598,20197,15997,29958,23344,2567,294,26391,2486,3879
7/25/2017,302817,187490,175992,20474,16074,20499,20494,34845,26390,992,657,24105,2373,4255
7/18/2017,304375,188948,173320,21162,16864,19866,20205,38259,28284,915,733,23153,1842,3895
7/11/2017,320980,198164,183394,21778,19681,20277,19728,39085,28516,4651,666,24710,3156,4652
7/4/2017,305295,188351,178231,22280,18890,19469,19958,33063,27638,2091,529,22377,3130,5098
6/27/2017,333824,198829,188342,24355,23013,22339,21993,32233,29456,1449,637,31955,3448,5848
6/20/2017,327027,195366,191722,24539,20637,22553,23369,30045,26854,1812,253,29840,2693,5123
6/13/2017,332801,198178,191614,21341,22465,25047,24198,30462,27961,2657,112,30443,2976,4697
6/6/2017,338404,198614,184093,23382,26382,22928,21166,32723,31684,2854,72,34383,3394,6139
5/30/2017,339835,190480,195681,36600,23308,23321,19496,29257,32247,3449,50,30653,3588,5318
5/23/2017,342043,190629,205081,44521,23206,19510,18378,26560,33844,3127,206,28908,3127,4728
5/16/2017,340370,191130,197260,43982,23130,20881,14774,30738,34959,2871,402,28235,3538,4764
5/9/2017,353370,200389,197259,43995,24658,24733,13182,34962,33955,1908,797,31944,3264,5062
5/2/2017,347136,203047,190264,44922,30255,23264,12839,39566,28069,2055,558,29297,3644,5864
4/25/2017,388423,220593,208821,45076,29602,29247,13841,40014,29947,2101,788,44460,3158,5544
4/18/2017,382085,218696,213048,44215,28280,25318,19556,39421,30911,1776,411,38937,2676,5760
4/11/2017,367247,211599,209509,44014,27737,23265,20245,37862,28336,2251,125,35096,2441,5317
4/4/2017,360423,205000,206894,42249,27002,23708,20798,35673,30444,3384,276,31491,3349,4935
3/28/2017,358181,204070,199223,43880,31178,22502,15611,29128,32290,3119,5753,33566,3144,4542
3/21/2017,366321,211144,201263,45022,32697,21541,14923,31146,35446,2573,7064,32573,3100,4591
3/14/2017,381127,227754,208496,38663,37271,23603,16664,32573,37715,3398,7435,30280,3051,3754
3/7/2017,384181,232801,204015,38320,44554,22688,14213,31713,34874,2745,6675,34091,4449,5571
2/28/2017,413543,258711,231879,41907,44435,25821,11577,30563,32341,3220,5805,37248,2719,5451
2/21/2017,481357,262764,242024,39008,33526,45177,9333,30317,48203,2485,5509,71064,3322,5536
2/14/2017,477802,264966,241569,39053,33865,42939,9569,31749,46292,1670,6080,70134,3180,5175
2/7/2017,450189,256994,231614,38810,32999,39682,8220,30475,40801,1504,7455,61589,2590,5575
1/31/2017,440827,259175,233730,38085,33563,36995,8725,28945,37608,1228,8205,56490,2521,5290
1/24/2017,435262,247106,234049,47772,35018,35993,11022,28700,37456,1543,8197,51183,3188,4667
1/17/2017,415643,246221,226159,33901,28977,35817,12402,27472,34128,1422,9506,48840,2913,4745
1/10/2017,414976,250973,230420,33341,28246,34948,11530,27968,33194,2304,9834,46006,2680,4360
1/3/2017,409509,250469,225917,32953,26795,33990,10130,31366,31139,1778,9760,46197,2853,4345
12/27/2016,396672,242730,217160,30593,27895,33783,11042,30687,28680,1671,8586,44582,3591,5298
12/20/2016,393678,239770,211236,30182,31589,32620,12406,31472,28731,2095,8412,44777,3098,4841
12/13/2016,384673,231458,201846,28672,28173,35717,13593,37487,25438,2349,6866,44056,3390,5090
12/6/2016,361352,216475,190153,25650,25987,30343,14559,37034,27261,3371,5514,40366,3327,4693
11/29/2016,407330,234535,208674,18454,29729,41600,16479,32329,35661,2998,1512,54703,2901,3122
11/22/2016,405328,237167,211571,15639,32487,39095,16242,30035,34040,5943,1255,53921,3281,2923
11/15/2016,406674,238075,214962,15716,33236,37875,16989,25920,35050,4884,2362,54282,3803,2988
11/8/2016,390196,222544,208760,19875,36812,32036,19785,21543,36497,4643,3025,50782,4035,742
11/1/2016,372287,196956,198124,11096,37073,30821,30141,10407,42471,6556,2116,49553,4694,1722
10/25/2016,374453,197681,199566,11956,38268,30457,30012,9050,42109,6486,2329,50985,4767,1690
10/18/2016,373317,192632,202086,13471,34586,31543,30725,7525,42767,6913,2309,49802,5465,2699
10/11/2016,360796,185337,199090,15630,37455,24709,32603,5088,41761,7189,2252,48323,5244,2118
10/4/2016,354578,181441,195890,17029,39306,23263,32050,4402,40125,8248,2193,47606,4816,1793
9/27/2016,340819,158279,177953,17667,40914,23868,33887,4214,39958,10496,1065,49040,7624,3807
9/20/2016,325804,146586,169010,17330,36785,25376,32633,4049,36477,10593,1290,50667,6141,2149
9/13/2016,310548,135876,164625,17962,33483,25449,34657,4426,29868,12739,1789,48614,5383,2295
9/6/2016,313473,133438,162225,15980,35634,24095,40956,1518,40056,7468,2658,45096,6386,2191
8/30/2016,417578,162170,186579,13298,42707,49095,45139,1406,62547,7702,1905,69848,7779,3491
8/23/2016,436768,170241,195777,14567,46210,52215,46814,751,66838,8020,1267,71530,6543,2181
8/16/2016,442484,177229,198985,14025,52031,51494,49411,1126,64002,7953,1452,71595,6774,1798
8/9/2016,417790,170073,194387,15105,45182,46326,46396,1681,61943,7719,1041,64393,5834,2836
8/2/2016,397724,165790,184921,14207,50602,35311,48114,2356,60893,6993,1553,60616,5800,1473
7/26/2016,404589,155912,194781,17616,39850,37248,54632,3033,66077,7063,1248,61223,4817,1129
7/19/2016,425552,168689,209390,17440,45018,35494,60844,2094,66372,6864,1568,64191,5659,1425
7/12/2016,426143,172662,218482,16087,46150,35141,67086,1800,61355,7591,1304,60327,5893,1584
7/5/2016,410413,164210,209642,16834,49711,32310,68124,1120,57864,8772,1241,56904,5394,1620
6/28/2016,481977,191113,230032,12361,46797,51103,65462,1461,79955,7400,1910,68814,5768,1904
6/21/2016,444831,182888,218741,13804,43876,45394,57670,2009,72495,7629,1260,59079,5873,1977
6/14/2016,450382,185514,217407,13155,46820,45517,57204,2416,72384,7360,1257,63434,5813,1147
6/7/2016,432674,184038,219326,13595,39673,41416,54341,2081,66514,7194,1541,60154,5422,1969
5/31/2016,414935,178515,214448,14044,37248,37641,52398,2187,63484,6572,1642,56393,5889,1891
5/24/2016,407363,173350,215701,16308,34964,35344,54080,2456,62241,6449,793,54250,5340,1613
5/17/2016,406260,171614,219353,19713,32724,33496,57597,2560,61174,6000,2811,51457,5209,2685
5/10/2016,451899,189550,245335,18032,36859,39856,69919,2929,66258,5861,2190,55453,6970,3020
5/3/2016,466425,190179,247694,15181,40520,48364,76876,2193,66471,5396,1278,57115,6845,2790
4/26/2016,484457,199937,245429,17269,42201,51293,64531,2548,70864,6114,1381,68674,5776,2068
4/19/2016,444552,188374,229837,15929,37049,48061,56867,2519,62436,5925,682,61339,5620,2629
4/12/2016,429446,181783,223584,17969,33633,45621,51915,3126,59847,5940,502,59892,6478,3241
4/5/2016,415517,171359,216385,21345,32817,44969,51805,3244,55723,5677,696,57905,6733,3777
3/29/2016,429499,173923,217132,19578,39356,48025,56742,2663,59725,6549,1102,59583,5373,1912
3/22/2016,436684,173143,220238,18855,37056,52832,60184,2173,60431,5281,1979,59454,6504,2520
3/15/2016,443496,181208,225905,17641,35841,54039,58998,2442,58859,4441,2201,62368,5941,1841
3/8/2016,436344,190486,232148,16907,29813,51216,52497,3354,56374,3599,1481,61552,3713,406
3/1/2016,444497,202204,234115,12744,35048,52435,52657,3924,53002,4042,1043,63111,4302,1819
2/23/2016,465503,199571,231581,10437,25561,57470,49445,5854,62970,2699,1151,79393,3519,1524
2/16/2016,447597,191536,224629,12916,22310,53974,43905,6484,59814,3761,427,77739,3952,2220
2/9/2016,444626,188275,222697,11084,19951,53657,44998,6429,58249,5036,905,78280,5046,4459
2/2/2016,422995,179376,215845,15040,21479,46119,41803,5419,55949,5576,285,74554,4579,3346
1/26/2016,411251,162799,216092,18107,15577,48230,47246,3907,54896,5459,386,69130,5385,3033
1/19/2016,419174,153546,217104,14734,14920,53018,59585,4150,61341,5262,85,65243,6444,3313
1/12/2016,401620,145371,211258,18024,12980,48310,56802,4761,60350,5536,290,60267,6961,3405
1/5/2016,402907,132802,222100,13732,10486,50474,80520,3842,57344,6013,380,55970,6050,2309
12/29/2015,404378,131044,225002,13397,9893,51990,84884,3659,56399,5793,549,56064,4806,821
12/22/2015,403949,130252,224950,14602,11821,50811,87072,3644,54878,5914,628,55795,4625,1422
12/15/2015,415040,131827,226288,14241,13059,54268,88012,3378,56598,5856,616,58475,5763,2357
12/8/2015,434313,146816,233420,13905,25203,53516,92558,2666,55341,5694,772,59803,6679,3591
12/1/2015,426182,141215,229911,14871,25158,51899,91463,2592,53088,7017,578,57453,9176,5503
11/24/2015,514531,172895,246641,12682,33680,68070,87786,3631,80824,6930,792,77644,7701,3248
11/17/2015,514987,179224,250743,12113,34623,64127,86816,1807,81278,5929,1189,77937,7563,3284
11/10/2015,494485,174496,245382,12940,30520,61803,81198,2127,77065,7298,807,72685,7001,4096
11/3/2015,482247,174199,238821,12883,27623,60402,71571,1630,77120,6431,747,72934,6707,2971
10/27/2015,465295,174389,229238,12365,25959,55185,63019,1812,77743,5457,1363,71314,5823,2681
10/20/2015,464598,178575,228879,10667,26607,53785,62345,3247,75993,5683,1589,72200,5351,2298
10/13/2015,464298,184855,234683,11502,26995,50951,62004,3865,74767,5688,1346,69416,5116,2276
10/6/2015,458688,173896,233266,14687,26626,46939,68715,3541,74820,5988,2517,68705,4937,2272
9/29/2015,462152,166554,235900,13636,24880,46141,76358,3311,77252,6336,1989,69127,6748,3552
9/22/2015,464865,167554,235673,13120,29146,44346,78165,2961,79656,6854,1048,70067,5104,1970
9/15/2015,446142,170033,228392,9858,27623,45751,70962,3138,71398,6924,1627,66680,4535,1534
9/8/2015,432340,166833,219693,8690,28420,45216,68281,2763,66154,5555,758,64555,7058,4781
9/1/2015,418139,163787,210462,9369,29101,45531,63877,3879,61768,5389,1080,63361,5058,2957
8/25/2015,436677,173497,217461,10674,26342,47070,58969,6506,68142,5070,1178,67867,5388,2111
8/18/2015,435214,172499,222304,12264,24635,45161,64756,7705,61915,5200,1439,69194,4223,2861
