Date,Open Interest,Producer/Merchant/ Processor/User Long,Producer/Merchant/ Processor/User Short,Swap Dealers Long,Swap Dealers short,Swap Dealers Spreading,Managed Money Long,Managed Money Short,Managed Money Spreading,Other Reportables Long,Other Reportables Short,Other Reportables Spreading,Nonreportable Positions Long,Nonreportable PositionsShort
5/27/2025,152943,57552,75858,27659,27592,12599,15993,1662,16949,1944,627,15896,4351,1760
5/20/2025,152323,60029,75895,24426,28075,12355,17091,1786,17039,1485,817,14802,5096,1554
5/13/2025,154675,67491,80126,25654,26355,13090,11272,1939,16047,1710,782,14954,4457,1382
5/6/2025,149430,68019,77015,28431,26925,12355,8213,2230,14188,999,934,13495,3730,2288
4/29/2025,166536,71201,82845,29636,23454,19377,8046,2051,14706,1046,2622,19098,3426,2383
4/22/2025,164628,70238,80844,29537,22723,18735,7896,3986,13750,1352,3273,19093,4027,2224
4/15/2025,163810,72343,80118,28858,23444,18670,8149,3777,12171,1368,3307,19391,2860,2932
4/8/2025,170669,78968,86199,23732,22314,20780,10427,2759,12515,1636,3606,19743,2868,2753
4/1/2025,170752,79181,84691,23295,24039,21026,9996,3830,12453,1656,3011,18938,4207,2764
3/25/2025,166707,75756,84062,23951,22308,19947,10895,2909,12356,1484,3630,18489,3829,3006
3/18/2025,164813,74843,84533,24821,21412,19050,9546,2388,13218,1534,4026,17769,4032,2417
3/11/2025,168691,80731,89462,21594,21631,19416,10828,1231,11308,1573,3815,19264,3977,2564
3/4/2025,172739,81693,95620,21481,19705,19271,13599,1006,11787,1622,4162,19253,4033,1935
2/25/2025,229282,107518,123931,22341,21582,26240,17551,827,15200,2078,5052,33716,4638,2734
2/18/2025,225681,99721,119150,16709,22179,28250,24527,646,13703,2589,4631,35142,5040,1980
2/11/2025,232712,102678,125523,22925,25965,24304,25033,575,13608,2752,4585,35964,5448,2188
2/4/2025,232594,102439,123233,21984,27739,23854,26266,207,13311,2776,4824,36928,5036,2498
1/28/2025,219656,90183,114319,21565,27252,24202,27298,238,12419,2667,3002,35638,5684,2586
1/21/2025,212592,85718,109222,18995,27550,23927,28867,771,11680,3608,3053,34273,5524,2116
1/14/2025,210356,86618,110831,19519,27040,23058,29667,433,10768,3290,3018,32784,4652,2424
1/7/2025,221172,96658,111472,16737,37231,24786,32357,393,10343,3198,3006,33087,4006,854
12/31/2024,221818,96889,111895,16870,36164,25050,32453,517,10463,3031,3481,33029,4033,1219
12/24/2024,215721,95184,108752,16462,36049,24131,31438,977,9479,3550,3750,31075,4402,1508
12/17/2024,221243,98544,115552,17433,35521,22888,31739,1052,10617,4554,3741,30754,4714,1118
12/10/2024,219213,100528,120738,16401,33168,20338,32877,756,9937,4445,3601,29095,5592,1580
12/3/2024,216534,101289,120869,18419,33273,18762,31459,519,9946,4611,4473,27125,4923,1567
11/26/2024,288455,133356,157150,22450,35273,25599,33786,492,17787,5183,4974,46072,4222,1108
11/19/2024,296322,143048,169599,25675,33572,25923,31794,602,16799,4750,4125,44419,3914,1283
11/12/2024,286575,137686,161836,25678,33462,25045,30492,525,18285,3425,3946,42409,3555,1067
11/5/2024,273767,134655,155423,26519,32150,23279,27395,354,17859,2683,4682,38714,2663,1306
10/29/2024,279473,143191,163724,26760,31579,23659,25569,247,18264,2749,4362,36520,2761,1118
10/22/2024,276639,144936,163590,26125,31842,22657,24209,58,17938,2902,4718,34300,3572,1536
10/15/2024,275564,143408,164765,28148,32788,21368,24511,141,17412,3413,4522,33513,3791,1055
10/8/2024,269148,139558,164393,32078,29637,19022,22629,545,17420,3187,4456,32228,3026,1447
10/1/2024,269105,139169,164935,32586,30287,18938,24100,530,16957,3652,4282,31297,2406,1879
9/24/2024,263233,136624,160384,31444,30484,18636,23367,570,16763,3687,4403,30087,2625,1906
